age,gender,country,salary,balance,account_type,num_products,has_cr_card,is_active_member,tenure_years,estimated_salary,churn,membership_duration_years
37.0,Female,France,78019.06,48585.22,Savings,1,0,1,4,118107.74,0,1.3123287671232877
53.0,Female,France,4136.51,68520.19,Checking,2,1,1,6,117592.88,0,7.652054794520548
50.0,Female,India,40690.86,44147.29,Savings,1,0,0,5,137357.86,0,6.463013698630137
32.0,Other,UK,79891.57,41335.47,Business,2,0,1,7,42175.66,0,6.912328767123288
67.0,Female,Germany,43308.46,23397.89,Savings,2,0,0,0,123532.2,0,7.008219178082192
63.0,Male,Germany,29715.23,47260.54,Checking,3,0,1,5,63842.19,0,1.536986301369863
20.0,Male,Germany,42982.5,53259.54,Savings,3,1,1,5,78486.83,0,5.52054794520548
64.0,Female,Germany,53664.91,37068.54,Savings,3,0,1,5,70853.94,0,8.73150684931507
44.0,Male,India,41876.02,38958.1,Savings,3,0,0,7,70570.76,0,6.616438356164384
22.0,Other,UK,72044.5,33779.99,Business,1,0,0,5,40399.91,0,9.104109589041096
73.0,Other,Cambodia,69371.69,23707.8,Checking,2,1,1,4,54096.43,0,5.947945205479452
48.0,Female,France,28412.54,52624.75,Savings,2,1,1,10,62778.46,0,4.158904109589041
39.0,Male,France,62369.65,-2905.12,Savings,2,0,1,9,22553.77,0,1.3205479452054794
52.0,Male,France,27512.87,1552.39,Checking,3,1,1,4,59106.33,0,2.010958904109589
71.0,Male,UK,89252.28,24060.62,Business,2,0,1,4,81749.22,0,9.652054794520549
24.0,Male,UK,90779.93,9528.11,Checking,4,1,1,1,110674.23,0,5.391780821917808
23.0,Male,Cambodia,52808.16,56719.95,Savings,2,1,1,10,69276.19,0,7.901369863013699
43.0,Male,India,86624.04,26145.53,Business,2,1,0,9,32592.48,0,3.4575342465753423
71.0,Female,India,41094.64,52541.12,Business,1,0,0,4,75245.32,0,5.857534246575343
18.0,Male,Cambodia,56502.91,61095.14,Checking,1,1,0,0,88737.39,1,2.191780821917808
36.0,Male,France,45380.27,36227.37,Checking,3,0,1,8,86645.15,1,3.3424657534246576
24.0,Female,Cambodia,59382.82,41541.65,Savings,3,0,0,4,103109.43,0,6.67945205479452
53.0,Other,UK,61656.13,59534.51,Savings,4,0,0,8,91556.75,0,7.391780821917808
29.0,Female,France,59933.42,54984.88,Business,3,1,0,0,109010.91,0,3.6410958904109587
37.0,Female,India,57745.41,-6418.53,Business,1,0,1,9,82625.5,0,6.764383561643836
40.0,Female,Cambodia,63182.19,26755.16,Business,1,1,0,9,71243.58,0,8.75068493150685
42.0,Female,France,91384.76,45252.1,Checking,3,1,0,1,86063.59,0,9.95068493150685
47.0,Female,India,9728.1,39313.63,Checking,2,1,0,0,133099.38,0,3.706849315068493
46.0,Male,USA,108023.04,15148.54,Savings,4,1,1,2,75171.84,1,7.961643835616439
48.0,Female,Germany,51230.56,849.09,Business,1,0,0,8,65907.09,0,2.052054794520548
58.0,Female,Cambodia,93232.54,18132.05,Savings,3,1,1,7,116733.22,0,7.043835616438356
36.0,Male,France,75167.23,32313.27,Business,2,0,0,1,44385.52,1,3.0
71.0,Female,France,73375.47,37894.65,Checking,2,1,1,9,101391.53,0,4.4
21.0,Other,UK,91140.77,31744.7,Business,1,1,1,5,-6871.7,0,2.4821917808219176
18.0,Male,Germany,55881.06,16364.95,Checking,1,0,0,0,79081.1,0,7.336986301369863
58.0,Other,India,82975.39,33345.66,Checking,4,1,1,7,98280.94,0,5.06027397260274
